booking_id,hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,arrival_date,booking_date
94397,City Hotel,0,2017,August,31,1,0,1,1,0.0,0.0,BB,PRT,Complementary,Direct,1,5,18,A,A,0,No Deposit,0.0,0,Transient,0.0,0,3,Check-Out,02/08/2017,01/08/2017,2017-08-01
102495,City Hotel,1,2017,August,31,2,0,1,1,0.0,0.0,BB,PRT,Corporate,Corporate,1,0,5,D,D,0,No Deposit,0.0,0,Transient,95.0,0,2,Check-Out,03/08/2017,02/08/2017,2017-08-01
117367,City Hotel,0,2017,August,31,1,0,2,2,1.0,0.0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,0.0,0,Transient,179.0,1,0,Check-Out,03/08/2017,01/08/2017,2017-08-01
117412,City Hotel,0,2017,August,31,1,0,2,1,0.0,0.0,BB,FIN,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,0,Transient,160.0,0,0,Check-Out,03/08/2017,01/08/2017,2017-08-01
117426,City Hotel,2,2017,August,31,3,0,1,2,0.0,0.0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,509.0,0,Transient-Party,166.0,0,0,Check-Out,04/08/2017,03/08/2017,2017-08-01
117428,City Hotel,2,2017,August,31,3,0,1,2,0.0,0.0,HB,PRT,Groups,TA/TO,0,0,0,A,A,2,No Deposit,509.0,0,Transient-Party,166.0,0,0,Check-Out,04/08/2017,03/08/2017,2017-08-01
117430,City Hotel,2,2017,August,31,3,0,1,2,0.0,0.0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,509.0,0,Transient-Party,166.0,0,1,Check-Out,04/08/2017,03/08/2017,2017-08-01
117431,City Hotel,2,2017,August,31,3,0,1,2,0.0,0.0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,509.0,0,Transient-Party,166.0,0,0,Check-Out,04/08/2017,03/08/2017,2017-08-01
117432,City Hotel,2,2017,August,31,3,0,1,2,0.0,0.0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,509.0,0,Transient-Party,166.0,0,0,Check-Out,04/08/2017,03/08/2017,2017-08-01
117433,City Hotel,2,2017,August,31,3,0,1,2,0.0,0.0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,509.0,0,Transient-Party,166.0,0,0,Check-Out,04/08/2017,03/08/2017,2017-08-01
117467,City Hotel,2,2017,August,31,3,0,1,1,0.0,0.0,BB,NLD,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,0,Transient,140.0,0,1,Check-Out,04/08/2017,03/08/2017,2017-08-01
117471,City Hotel,2,2017,August,31,3,0,1,2,1.0,0.0,HB,PRT,Groups,TA/TO,0,0,0,A,A,10,No Deposit,509.0,0,Transient-Party,216.5,0,1,Check-Out,04/08/2017,03/08/2017,2017-08-01
117473,City Hotel,2,2017,August,31,3,0,1,2,0.0,0.0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,509.0,0,Transient-Party,166.0,0,1,Check-Out,04/08/2017,03/08/2017,2017-08-01
117525,City Hotel,2,2017,August,31,3,0,2,2,0.0,0.0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,0,Transient,140.0,0,1,Check-Out,05/08/2017,03/08/2017,2017-08-01
117530,City Hotel,2,2017,August,31,3,0,2,2,0.0,0.0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,0,Transient,140.0,0,1,Check-Out,05/08/2017,03/08/2017,2017-08-01
117765,City Hotel,6,2017,August,32,7,1,1,3,0.0,0.0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,0,Transient,183.99,0,1,Check-Out,09/08/2017,07/08/2017,2017-08-01
117785,City Hotel,8,2017,August,32,9,0,1,1,0.0,0.0,BB,ESP,Corporate,Corporate,0,0,0,A,C,0,No Deposit,0.0,0,Transient,80.0,0,0,Check-Out,10/08/2017,09/08/2017,2017-08-01
117786,City Hotel,8,2017,August,32,9,0,1,1,0.0,0.0,BB,ESP,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0.0,0,Transient,80.0,0,0,Check-Out,10/08/2017,09/08/2017,2017-08-01
117811,City Hotel,6,2017,August,32,7,1,2,2,0.0,0.0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,160.0,0,2,Check-Out,10/08/2017,07/08/2017,2017-08-01
117955,City Hotel,10,2017,August,32,11,0,1,2,0.0,0.0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,189.0,0,0,Check-Out,12/08/2017,11/08/2017,2017-08-01
119032,City Hotel,25,2017,August,34,26,1,1,3,0.0,0.0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,184.5,0,3,Check-Out,28/08/2017,26/08/2017,2017-08-01
119099,City Hotel,26,2017,August,35,27,2,0,2,0.0,0.0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,0,Transient,143.5,0,2,Check-Out,29/08/2017,27/08/2017,2017-08-01
119198,City Hotel,27,2017,August,35,28,1,3,2,0.0,0.0,BB,DEU,Direct,Direct,0,0,0,D,D,2,No Deposit,14.0,0,Transient,169.0,1,0,Check-Out,01/09/2017,28/08/2017,2017-08-01
119216,City Hotel,29,2017,August,35,30,0,2,1,0.0,0.0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,10.0,0,Transient,95.0,0,0,Check-Out,01/09/2017,30/08/2017,2017-08-01
119217,City Hotel,29,2017,August,35,30,0,2,1,0.0,0.0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,10.0,0,Transient,95.0,0,0,Check-Out,01/09/2017,30/08/2017,2017-08-01
119329,City Hotel,30,2017,August,35,31,0,3,2,0.0,0.0,BB,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient,151.67,1,0,Check-Out,03/09/2017,31/08/2017,2017-08-01
